filepath,dataset,speaker_id,attack_id,attack_category,label
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1138215.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1271820.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1272637.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1276960.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1341447.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1363611.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1596451.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1608170.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1684951.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1703395.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1736342.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1779188.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1786825.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1787246.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1905558.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2205687.flac,LA,LA_0079,-,bonafide,bonafide
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2220901.flac,LA,LA_0079,-,bonafide,bonafide
