filename,chunk_index,speaker_id,label,label_name,attack_id,split,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,reverb_proxy_decay_ratio,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std
PA_test_PA_T_0000009.flac,0,PA_0079,0,bonafide,-,test,0.05751263350248337,0.08563750237226486,4472.96630859375,1499.16064453125,0.776471734046936,2396.052490234375,990.69921875,1812.2496337890625,506.9100036621094,0.195932537317276,0.14845363795757294,0.047978200018405914,0.05368068814277649
PA_test_PA_T_0000009.flac,1,PA_0079,0,bonafide,-,test,0.037337563931941986,0.07368585467338562,3203.125,1943.9696044921875,0.4439500570297241,1826.7716064453125,1168.409423828125,1455.6646728515625,509.0829772949219,0.1536923348903656,0.14470776915550232,0.0631556436419487,0.06308851391077042
PA_test_PA_T_0000009.flac,2,PA_0079,0,bonafide,-,test,0.6928405165672302,0.446516215801239,1393.6011962890625,2102.9580078125,1.8397351503372192,610.6478881835938,885.8560180664062,669.9116821289062,970.86962890625,0.030118428170681,0.05430980026721954,0.0005024030688218772,0.0016114696627482772
PA_test_PA_T_0001189.flac,0,PA_0097,0,bonafide,-,test,0.03469003364443779,0.04867050051689148,4581.10107421875,1258.9765625,0.6829912066459656,2106.792724609375,1072.37451171875,2071.948974609375,339.80584716796875,0.1277281790971756,0.13392043113708496,0.050986360758543015,0.0835500955581665
PA_test_PA_T_0001189.flac,1,PA_0097,0,bonafide,-,test,0.0031579481437802315,0.0064375088550150394,1966.0218505859375,1019.8707275390625,1.1098568439483643,1005.5599975585938,377.4895324707031,1196.359619140625,407.9179992675781,0.0554005466401577,0.0329919159412384,0.19361017644405365,0.12322647124528885
PA_test_PA_T_0001189.flac,2,PA_0097,0,bonafide,-,test,0.27031075954437256,0.42640751600265503,2422.866943359375,1804.172119140625,0.2744976580142975,1063.5152587890625,745.8248901367188,1411.52978515625,864.6253051757812,0.0442088283598423,0.03974638879299164,0.0026790446136146784,0.003967221360653639
PA_test_PA_T_0001601.flac,0,PA_0079,0,bonafide,-,test,0.03473838046193123,0.025018170475959778,4101.9345703125,721.9447631835938,0.7509426474571228,1961.732177734375,333.38409423828125,1853.768798828125,326.6050720214844,0.1450272798538208,0.07950763404369354,0.05488608777523041,0.07685592025518417
PA_test_PA_T_0001601.flac,1,PA_0079,0,bonafide,-,test,0.31103718280792236,0.42303985357284546,3301.33935546875,1999.5628662109375,0.8242979645729065,1566.155029296875,972.7314453125,1417.308837890625,862.5790405273438,0.0949745774269104,0.08254192769527435,0.022182460874319077,0.03616431728005409
PA_test_PA_T_0001783.flac,0,PA_0097,0,bonafide,-,test,0.017158351838588715,0.0122459065169096,3270.33740234375,1204.567626953125,1.011736273765564,1425.644287109375,417.65093994140625,1766.37646484375,436.4857177734375,0.0705760195851326,0.027588021010160446,0.06984347105026245,0.13270793855190277
PA_test_PA_T_0001783.flac,1,PA_0097,0,bonafide,-,test,0.010741258971393108,0.014438657090067863,3022.321533203125,1369.95068359375,1.404989242553711,1488.0087890625,533.7913818359375,1539.052490234375,486.94549560546875,0.0957806333899498,0.03375040367245674,0.09281046688556671,0.05574258789420128
PA_test_PA_T_0001783.flac,2,PA_0097,0,bonafide,-,test,0.10730595141649246,0.2897537350654602,3229.414794921875,1432.1978759765625,0.8115700483322144,1291.260986328125,486.8275451660156,1807.96875,593.4602661132812,0.0420386902987957,0.02918216399848461,0.0009949220111593604,0.0012201728532090783
PA_test_PA_T_0002803.flac,0,PA_0079,0,bonafide,-,test,0.027412893250584602,0.04409768804907799,4101.9345703125,948.3779296875,0.538600742816925,1946.5460205078125,547.5612182617188,1753.2471923828125,412.22039794921875,0.1508866548538208,0.08701108396053314,0.07815803587436676,0.11080600321292877
PA_test_PA_T_0002803.flac,1,PA_0079,0,bonafide,-,test,0.737618088722229,0.4178229868412018,1600.9425048828125,2534.254638671875,0.1978408843278885,704.7830200195312,1168.3470458984375,703.713623046875,1079.7998046875,0.0359313003718853,0.09433256834745407,0.0001867866376414895,0.0005343869561329484
PA_test_PA_T_0002982.flac,0,PA_0097,0,bonafide,-,test,0.03590084984898567,0.06412037461996078,4180.0595703125,1229.51611328125,5.929124746728576e-09,1788.7301025390625,779.146728515625,2078.666259765625,259.85186767578125,0.0914713516831398,0.11139391362667084,0.016202528029680252,0.057657040655612946
PA_test_PA_T_0002982.flac,1,PA_0097,0,bonafide,-,test,0.0032589975744485855,0.0068854158744215965,1960.5654296875,1793.531982421875,1.1722428798675537,997.251220703125,597.3858032226562,1285.46142578125,600.7724609375,0.0496651791036129,0.028494752943515778,0.25644832849502563,0.11460033059120178
PA_test_PA_T_0002982.flac,2,PA_0097,0,bonafide,-,test,0.006460325792431831,0.006667254958301783,2846.72607421875,1279.3941650390625,0.8027973771095276,1218.879150390625,362.7005920410156,1672.2049560546875,487.1472473144531,0.0447978675365448,0.018439289182424545,0.06657525151968002,0.11038138717412949
