filename,split,label,attack_id,attack_category,speaker_id,file_size_bytes,has_valid_flac_header,soundfile_error,librosa_error,ffmpeg_error,subset_filepath
PA_train_PA_T_0002373.flac,train,bonafide,-,bonafide,PA_0096,42631,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002373.flac
PA_train_PA_T_0002108.flac,train,bonafide,-,bonafide,PA_0089,81192,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002108.flac
PA_train_PA_T_0004520.flac,train,bonafide,-,bonafide,PA_0090,73271,True,LibsndfileError: Error : unknown error in flac decoder.,LibsndfileError: Error : unknown error in flac decoder.,OK,data/subset_raw/PA_train_PA_T_0004520.flac
PA_val_PA_T_0001823.flac,val,bonafide,-,bonafide,PA_0081,73845,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_val_PA_T_0001823.flac
PA_train_PA_T_0002536.flac,train,bonafide,-,bonafide,PA_0092,88700,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002536.flac
PA_val_PA_T_0000034.flac,val,bonafide,-,bonafide,PA_0082,77027,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_val_PA_T_0000034.flac
PA_train_PA_T_0003502.flac,train,bonafide,-,bonafide,PA_0089,104138,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003502.flac
PA_train_PA_T_0000777.flac,train,bonafide,-,bonafide,PA_0096,82391,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0000777.flac
PA_train_PA_T_0001514.flac,train,bonafide,-,bonafide,PA_0090,55046,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0001514.flac
PA_val_PA_T_0002823.flac,val,bonafide,-,bonafide,PA_0081,78437,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_val_PA_T_0002823.flac
PA_test_PA_T_0002803.flac,test,bonafide,-,bonafide,PA_0079,42164,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0002803.flac
PA_test_PA_T_0004487.flac,test,bonafide,-,bonafide,PA_0087,79939,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0004487.flac
PA_train_PA_T_0003251.flac,train,bonafide,-,bonafide,PA_0084,89600,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003251.flac
PA_train_PA_T_0002246.flac,train,bonafide,-,bonafide,PA_0083,70714,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002246.flac
PA_train_PA_T_0003244.flac,train,bonafide,-,bonafide,PA_0083,70714,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003244.flac
PA_val_PA_T_0005032.flac,val,bonafide,-,bonafide,PA_0082,83429,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_val_PA_T_0005032.flac
PA_train_PA_T_0005370.flac,train,bonafide,-,bonafide,PA_0095,60985,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0005370.flac
PA_train_PA_T_0001731.flac,train,bonafide,-,bonafide,PA_0092,57628,True,LibsndfileError: Error : unknown error in flac decoder.,LibsndfileError: Error : unknown error in flac decoder.,OK,data/subset_raw/PA_train_PA_T_0001731.flac
PA_test_PA_T_0000009.flac,test,bonafide,-,bonafide,PA_0079,85199,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0000009.flac
PA_train_PA_T_0000997.flac,train,bonafide,-,bonafide,PA_0098,56449,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0000997.flac
PA_train_PA_T_0003494.flac,train,bonafide,-,bonafide,PA_0088,86110,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003494.flac
PA_val_PA_T_0002437.flac,val,bonafide,-,bonafide,PA_0082,93370,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_val_PA_T_0002437.flac
PA_train_PA_T_0002105.flac,train,bonafide,-,bonafide,PA_0089,80710,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002105.flac
PA_test_PA_T_0001783.flac,test,bonafide,-,bonafide,PA_0097,90797,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0001783.flac
PA_train_PA_T_0003258.flac,train,bonafide,-,bonafide,PA_0084,83696,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003258.flac
PA_train_PA_T_0003471.flac,train,bonafide,-,bonafide,PA_0086,85905,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003471.flac
PA_train_PA_T_0004567.flac,train,bonafide,-,bonafide,PA_0095,50732,True,LibsndfileError: Error : unknown error in flac decoder.,LibsndfileError: Error : unknown error in flac decoder.,OK,data/subset_raw/PA_train_PA_T_0004567.flac
PA_test_PA_T_0001601.flac,test,bonafide,-,bonafide,PA_0079,58624,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0001601.flac
PA_test_PA_T_0002982.flac,test,bonafide,-,bonafide,PA_0097,103368,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_test_PA_T_0002982.flac
PA_train_PA_T_0002997.flac,train,bonafide,-,bonafide,PA_0098,58103,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0002997.flac
PA_train_PA_T_0001095.flac,train,bonafide,-,bonafide,PA_0088,59664,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0001095.flac
PA_train_PA_T_0003772.flac,train,bonafide,-,bonafide,PA_0096,52939,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003772.flac
PA_train_PA_T_0003218.flac,train,bonafide,-,bonafide,PA_0080,42273,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0003218.flac
PA_train_PA_T_0004747.flac,train,bonafide,-,bonafide,PA_0093,45415,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0004747.flac
PA_train_PA_T_0005300.flac,train,bonafide,-,bonafide,PA_0088,63921,True,LibsndfileError: Error : flac decoder lost sync.,LibsndfileError: Error : flac decoder lost sync.,OK,data/subset_raw/PA_train_PA_T_0005300.flac
