filepath,dataset,speaker_id,attack_id,attack_category,label,split,subset_filepath,channel
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3891170.flac,LA,LA_0085,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_3891170.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2948101.flac,LA,LA_0097,-,bonafide,bonafide,test,data/subset_raw/LA_test_LA_T_2948101.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8919107.flac,LA,LA_0084,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_8919107.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6650735.flac,LA,LA_0081,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_6650735.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5362691.flac,LA,LA_0086,-,bonafide,bonafide,test,data/subset_raw/LA_test_LA_T_5362691.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9132181.flac,LA,LA_0098,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_9132181.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3517700.flac,LA,LA_0098,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_3517700.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2502033.flac,LA,LA_0092,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_2502033.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8234497.flac,LA,LA_0090,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_8234497.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8847275.flac,LA,LA_0094,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_8847275.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6175341.flac,LA,LA_0097,-,bonafide,bonafide,test,data/subset_raw/LA_test_LA_T_6175341.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_3324661.flac,LA,LA_0087,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_3324661.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_6636159.flac,LA,LA_0092,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_6636159.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1744427.flac,LA,LA_0091,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_1744427.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5314492.flac,LA,LA_0088,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_5314492.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1933449.flac,LA,LA_0083,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_1933449.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4400269.flac,LA,LA_0081,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_4400269.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_1897758.flac,LA,LA_0096,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_1897758.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9074017.flac,LA,LA_0096,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_9074017.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8874328.flac,LA,LA_0087,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_8874328.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_8388870.flac,LA,LA_0081,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_8388870.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4290789.flac,LA,LA_0089,-,bonafide,bonafide,val,data/subset_raw/LA_val_LA_T_4290789.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9506168.flac,LA,LA_0097,-,bonafide,bonafide,test,data/subset_raw/LA_test_LA_T_9506168.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4606578.flac,LA,LA_0084,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_4606578.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_9863654.flac,LA,LA_0087,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_9863654.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_2439075.flac,LA,LA_0096,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_2439075.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_5954195.flac,LA,LA_0079,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_5954195.flac,clean
data/raw/LA/LA/ASVspoof2019_LA_train/flac/LA_T_4362109.flac,LA,LA_0079,-,bonafide,bonafide,train,data/subset_raw/LA_train_LA_T_4362109.flac,clean
